Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,RSI
2023-08-29 00:00:00-04:00,527.7000122070312,541.969970703125,526.1500244140625,540.5700073242188,2167000,0.0,0.0,521.1604995727539,511.4555969238281,521.9660020446802,62.36498375382209
2023-08-30 00:00:00-04:00,540.0999755859375,546.0,536.0900268554688,545.3599853515625,1930300,0.0,0.0,521.9134994506836,512.6455969238282,524.1940004548594,63.29340340075757
2023-08-31 00:00:00-04:00,547.0,562.0999755859375,546.760009765625,559.3400268554688,3919300,0.0,0.0,523.6925003051758,514.2827972412109,527.5412410644412,71.62403146211486
2023-09-01 00:00:00-04:00,564.7999877929688,569.97998046875,558.52001953125,563.2100219726562,2232300,0.0,0.0,525.509001159668,515.9953979492187,530.9382678176046,69.00872585914561
2023-09-05 00:00:00-04:00,557.8800048828125,567.5900268554688,555.4199829101562,564.8800048828125,2349700,0.0,0.0,527.2665023803711,517.5985980224609,534.1708142047672,71.81181392415061
2023-09-06 00:00:00-04:00,560.4500122070312,564.0599975585938,555.8499755859375,561.9400024414062,2299900,0.0,0.0,529.3335037231445,519.2471978759766,536.8154987987328,72.683812995192
2023-09-07 00:00:00-04:00,554.0,561.8300170898438,551.0800170898438,560.4600219726562,2089400,0.0,0.0,531.6675033569336,520.6709985351563,539.0673581486303,73.62711579858345
2023-09-08 00:00:00-04:00,568.9000244140625,570.239990234375,558.030029296875,560.3599853515625,2262000,0.0,0.0,533.8940017700195,522.2295983886719,541.0952274060525,76.16468781034288
2023-09-11 00:00:00-04:00,562.0,565.4299926757812,556.7000122070312,564.5,2083300,0.0,0.0,536.696501159668,523.8441986083984,543.3242533673808,74.03120711021094
2023-09-12 00:00:00-04:00,555.6300048828125,559.0900268554688,540.3699951171875,542.2100219726562,3961300,0.0,0.0,537.6945022583008,524.9085992431641,543.2181360916928,60.06554881592114
2023-09-13 00:00:00-04:00,557.02001953125,559.8499755859375,546.4299926757812,553.5599975585938,3465200,0.0,0.0,539.4375015258789,526.2755993652344,544.2030752790167,60.10792252646494
2023-09-14 00:00:00-04:00,551.0900268554688,555.1900024414062,544.3400268554688,552.1599731445312,4786900,0.0,0.0,541.3210006713867,527.5735986328125,544.9608750757324,70.66041101438309
2023-09-15 00:00:00-04:00,532.1099853515625,537.6900024414062,523.6199951171875,528.8900146484375,9769000,0.0,0.0,542.1820007324219,528.5255987548828,543.4303169397995,51.79324743791175
2023-09-18 00:00:00-04:00,524.22998046875,533.97998046875,522.1799926757812,532.4199829101562,2650700,0.0,0.0,543.3964996337891,529.4685986328125,542.3817136988811,51.185283958848416
